id	weight
ทนไม่ไหว	8
ตกงาน	5
กฏหมาย	5
รถยนต์	9
ยี่ห้อ	14
แผน	8
เว็บ	8
งก	6
พยางค์	5
ปวดใจ	5
แก้ไขปัญหา	5
ชีวิตคู่	9
ภรรยาเก่า	10
ส่งเสีย	5
เก่าๆ	8
มหาลัย	9
เอกสาร	12
ทำใจ	8
นินทา	15
รับฟัง	5
เหล้า	6
งานแต่ง	5
ตั้งท้อง	9
ต้อ	6
นน	5
จดทะเบียนสมรส	5
ทรมาน	6
สมัครงาน	12
หลอก	8
ง้อ	10
ไซต์	6
หาเรื่อง	6
ขายส่ง	6
ว่างงาน	5
โซเชียล	5
มีสิทธิ์	5
ของชำ	5
มาตรา	6
ระแวง	6
ข้าวของ	5
ตั้งครรภ์	5
Supplier	5
ตัวอย่างสินค้า	5
หอบ	6
แพมเพิส	6
แปบ	5
จังหวัด	6
ชาวบ้าน	5
ทำร้ายร่างกาย	5
บ้านนอก	5
พัง	6
หย่า	6
Nursery	7
ห้องเช่า	7
เวรกรรม	5
เยี่ยม	9
บรรดา	5
